,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Geraldton,49.72,-86.95,24.8,68,20,8.05
1,Qaanaaq,77.48,-69.36,3.02,54,57,2.93
2,Busselton,-33.64,115.35,68.59,35,0,13.65
3,Vaini,15.34,74.49,65.84,93,92,10.63
4,Jamestown,-33.21,138.6,46.8,97,28,10.85
5,Morros,-2.87,-44.04,87.8,62,20,14.99
6,Mataura,-46.19,168.86,60.01,85,100,5.01
7,Esperance,-33.86,121.89,55.4,93,90,5.82
8,Ushuaia,-54.81,-68.31,55.56,76,75,18.34
9,Kodiak,39.95,-94.76,37.89,44,1,5.82
10,Whitianga,-36.83,175.7,63.91,95,100,12.62
11,Rikitea,-23.12,-134.97,76.24,83,64,14.85
12,Sibiti,-3.69,13.35,71.73,95,97,2.06
13,Bredasdorp,-34.53,20.04,66.07,55,0,13.87
14,Mount Isa,-20.73,139.49,73.4,35,0,9.17
15,Avarua,-21.21,-159.78,78.8,78,100,6.93
16,Albany,42.65,-73.75,30.47,91,90,12.75
17,Fairbanks,64.84,-147.72,13.64,92,90,2.37
18,Saint George,39.45,22.34,46.4,81,20,5.82
19,Krasnokamensk,50.1,118.04,-14.94,77,0,7.16
20,Port Alfred,-33.59,26.89,70.0,86,4,10.0
21,Sterling,39.0,-77.4,41.13,75,40,13.87
22,Port Pirie,-33.18,138.01,53.6,76,40,6.93
23,Parabel,58.71,81.5,8.55,87,0,6.08
24,Tiarei,-17.53,-149.33,86.0,66,40,12.75
25,Agadez,16.97,7.99,76.3,16,1,6.93
26,Longyearbyen,78.22,15.63,8.6,78,75,2.24
27,East London,-33.02,27.91,73.4,88,20,4.7
28,Severo-Kurilsk,50.68,156.12,26.55,94,100,15.46
29,Saint-Pierre,48.95,4.24,34.65,100,90,5.82
30,Bluff,-23.58,149.07,72.07,36,25,7.47
31,Mana,13.03,5.27,79.21,14,100,6.22
32,Ola,59.58,151.3,-3.32,78,0,11.65
33,Thompson,55.74,-97.86,14.0,92,90,3.36
34,Port Blair,11.67,92.75,82.8,78,0,15.14
35,Mar del Plata,-46.43,-67.52,74.3,24,16,24.09
36,Port Elizabeth,39.31,-74.98,38.82,86,90,13.87
37,Evensk,61.92,159.24,-16.67,70,0,9.86
38,Kavieng,-2.57,150.8,82.69,71,26,2.3
39,Mahebourg,-20.41,57.7,74.46,69,20,5.82
40,Georgetown,6.8,-58.16,84.2,79,40,9.17
41,Atuona,-9.8,-139.03,79.83,66,37,10.78
42,Cabedelo,-6.97,-34.84,84.2,66,40,12.75
43,Grand Gaube,-20.01,57.66,74.59,69,20,5.82
44,Souris,46.36,-62.25,31.51,69,40,6.93
45,Ambilobe,-13.19,49.05,79.61,69,69,9.42
46,Butaritari,3.07,172.79,84.25,75,60,11.16
47,Punta Arenas,-53.16,-70.91,63.66,42,40,20.8
48,Miura,35.17,139.64,52.02,50,75,19.46
49,New Norfolk,-42.78,147.06,46.45,46,75,16.11
50,Klaksvik,62.23,-6.59,48.2,100,90,2.24
51,Naze,5.43,7.07,84.2,83,40,3.36
52,Vestmannaeyjar,63.44,-20.27,48.2,93,90,28.86
53,Yulara,-25.24,130.99,66.2,48,0,4.7
54,Tasiilaq,65.61,-37.64,33.8,86,100,10.29
55,Bose,45.46,8.01,40.71,87,0,3.36
56,Saint Anthony,43.97,-111.68,28.9,86,90,3.36
57,Barcelos,-0.97,-62.93,95.32,41,76,4.9
58,Zeya,53.74,127.27,-3.86,96,100,5.41
59,Bethel,60.79,-161.76,0.95,84,90,3.36
60,Flinders,-34.58,150.85,54.27,41,0,10.29
61,La Ronge,55.1,-105.3,19.4,92,90,5.82
62,Chuy,-33.69,-53.46,72.23,41,0,7.2
63,Kapaa,22.08,-159.32,76.37,83,90,18.34
64,Erdemli,36.61,34.31,65.62,44,0,6.55
65,Kaitangata,-46.28,169.85,58.05,81,100,13.69
66,Ribeira Grande,38.52,-28.7,66.2,100,75,17.22
67,Camargo,27.69,-105.17,65.52,42,61,7.99
68,Williams Lake,52.13,-122.14,23.0,79,90,9.17
69,Chapais,49.78,-74.86,14.0,66,1,0.98
70,Baykit,61.68,96.39,-4.86,98,100,2.64
71,Kuryk,43.18,51.68,45.19,84,100,25.77
72,Yellowknife,62.45,-114.38,9.45,85,90,10.29
73,Eureka,40.8,-124.16,57.02,63,40,10.29
74,Capao da Canoa,-29.75,-50.01,66.67,66,0,20.2
75,Kisangani,0.52,25.21,75.2,88,97,0.78
76,Gat,14.69,-16.54,83.82,31,13,4.7
77,Otjimbingwe,-22.35,16.13,73.51,27,89,10.78
78,Tautira,-17.73,-149.15,86.0,66,40,12.75
79,Victoria,5.28,115.24,78.57,78,90,4.7
80,Khorramshahr,30.43,48.18,72.14,83,40,19.46
81,Richards Bay,-28.77,32.06,78.1,76,0,24.05
82,Capitao Poco,-1.75,-47.06,92.8,42,34,5.99
83,Cape Town,-33.93,18.42,65.21,72,75,10.29
84,Bonavista,48.65,-53.11,30.87,60,50,8.32
85,Acapulco,16.86,-99.88,86.0,74,5,6.93
86,Dikson,73.51,80.55,-4.41,88,89,15.41
87,Zhangye,38.94,100.46,18.25,46,0,3.91
88,Faanui,-16.48,-151.75,81.5,70,79,1.9
89,Brumunddal,60.89,10.94,13.23,89,87,4.0
90,Minyar,55.07,57.55,14.27,95,95,6.78
91,Bambous Virieux,-20.34,57.76,74.48,69,20,5.82
92,Puerto Ayora,-0.74,-90.35,77.63,61,20,12.75
93,Hilo,19.71,-155.08,66.42,94,75,4.7
94,Birjand,32.86,59.22,50.0,29,95,18.34
95,Arraial do Cabo,-22.97,-42.02,74.7,94,75,11.41
96,Upata,8.02,-62.41,85.57,53,50,6.38
97,Nikolskoye,59.7,30.79,25.29,86,75,4.47
98,Constitucion,23.99,-104.67,70.75,21,20,2.24
99,Isangel,-19.55,169.27,75.2,78,44,9.17
100,Epalinges,46.55,6.67,32.45,74,90,19.46
101,Havoysund,71.0,24.66,30.2,92,90,23.04
102,Tilichiki,60.47,166.1,-16.38,91,0,6.46
103,Keta,5.92,0.99,84.2,83,20,12.75
104,Hermanus,-34.42,19.24,64.89,71,29,7.0
105,Sciacca,37.51,13.08,57.52,88,20,16.11
106,Dahra,36.25,0.85,57.2,76,20,5.82
107,Tahe,52.34,124.71,-13.36,88,100,11.45
108,Hobart,-42.88,147.33,46.44,46,75,16.11
109,Vendome,47.44,-0.57,37.24,90,0,3.36
110,Udachnyy,66.42,112.4,-31.0,73,3,4.47
111,Byron Bay,-28.65,153.62,60.4,82,90,3.8
112,Faya,18.39,42.45,59.92,82,0,2.68
113,Kaabong,3.51,34.14,71.53,62,97,6.35
114,Saskylakh,71.97,114.09,-27.85,92,95,5.08
115,West Bay,49.34,-123.21,37.71,100,90,2.24
116,Valparaiso,41.47,-87.06,34.9,74,90,11.41
117,Launceston,-41.43,147.14,46.4,70,40,13.87
118,Tuatapere,-46.13,167.69,60.01,85,100,5.01
119,Sao Jose da Coroa Grande,-8.9,-35.15,80.06,77,17,16.55
120,Paamiut,61.99,-49.67,24.85,54,27,9.48
121,Yerbogachen,61.28,108.01,-32.15,88,0,1.86
122,Tuktoyaktuk,69.44,-133.03,-0.4,84,75,13.87
123,Saint-Augustin,45.63,-73.98,27.93,58,75,17.22
124,Nome,30.04,-94.42,60.04,36,1,10.29
125,Portlethen,57.05,-2.13,43.14,93,75,9.17
126,Riberalta,-11.0,-66.08,78.8,83,75,3.09
127,Mokobeng,-23.0,27.67,85.6,25,0,10.18
128,Plastun,44.76,136.29,10.85,69,19,9.42
129,Husavik,50.56,-96.99,22.42,80,34,7.0
130,Cutlerville,42.84,-85.66,31.48,80,90,5.82
131,Poro,-21.3,165.71,65.73,83,24,3.8
132,Taoudenni,22.68,-3.98,75.65,17,0,7.83
133,Rawson,-43.3,-65.11,61.03,64,79,11.48
134,Panama City,30.16,-85.65,53.42,40,1,16.11
135,Prince George,53.92,-122.75,25.7,86,90,17.22
136,Castelbuono,37.93,14.09,58.33,65,3,1.99
137,Ust-Maya,60.42,134.54,-18.38,94,100,6.17
138,Inuvik,68.36,-133.71,5.0,77,90,6.93
139,Cherskiy,68.75,161.3,-7.56,96,100,18.07
140,Sao Felix do Xingu,-6.64,-51.99,95.02,34,20,4.05
141,The Valley,18.22,-63.06,86.02,70,40,12.75
142,Matagami,9.67,8.4,76.15,28,0,3.15
143,San Miguel de Cauri,-10.1,-76.58,78.8,47,75,13.87
144,Manggar,-2.88,108.27,82.81,74,100,4.52
145,Meiktila,20.88,95.86,67.24,79,33,2.59
146,Katsuura,33.93,134.5,48.69,49,75,12.75
147,Ponta do Sol,-20.63,-46.0,79.92,67,98,9.31
148,Buala,-8.15,159.59,79.38,83,47,4.99
149,Aykhal,65.95,111.51,-31.0,73,0,4.47
150,Vostok,46.45,135.83,3.85,96,100,7.96
151,Puerto Maldonado,-12.59,-69.19,33.8,100,75,5.82
152,Beringovskiy,63.05,179.32,5.14,84,100,25.46
153,Sioux Lookout,50.1,-91.92,25.47,38,20,13.87
154,Nara,34.68,135.8,43.75,53,100,23.04
155,Saint-Philippe,45.36,-73.48,27.88,58,75,17.22
156,Coihaique,-45.58,-72.07,57.2,58,75,9.17
157,Panzhihua,26.59,101.72,47.46,71,72,1.74
158,Kuytun,54.34,101.51,8.02,92,100,5.1
159,Mengcheng,33.26,116.57,35.13,41,0,6.02
160,Luderitz,-26.65,15.16,66.2,63,100,23.04
161,Quetigny,47.31,5.12,33.87,74,0,11.41
162,Benguela,-12.58,13.4,77.54,82,50,5.53
163,Umba,66.69,34.34,28.83,74,82,28.45
164,Xining,36.62,101.77,12.92,69,16,4.43
165,Pudozh,61.81,36.54,26.37,89,100,7.36
166,Lazaro Cardenas,28.39,-105.62,62.6,39,5,5.82
167,Chokurdakh,70.62,147.9,-27.71,97,95,2.42
168,Azul,-36.78,-59.86,82.0,26,0,4.0
169,Cam Ranh,11.92,109.15,77.0,78,40,21.92
170,Abu Kamal,34.45,40.92,60.37,73,0,7.96
171,Leningradskiy,69.38,178.42,23.49,93,100,13.56
172,Kovdor,67.56,30.47,22.01,86,82,18.1
173,Cabo San Lucas,22.89,-109.91,77.22,78,40,6.93
174,Conway,35.09,-92.44,46.4,45,1,9.17
175,Gornopravdinsk,60.06,69.92,14.88,90,98,8.57
176,Makinsk,52.63,70.42,16.88,96,77,10.02
177,Ende,-8.84,121.65,83.68,71,19,3.83
178,Kununurra,-15.77,128.74,84.2,74,42,2.24
179,Ayaviri,-14.88,-70.59,60.4,37,97,4.18
180,Buraydah,26.33,43.97,64.4,68,5,14.99
181,Lebu,8.96,38.73,59.0,58,77,12.75
182,Yar-Sale,66.83,70.83,8.65,94,100,11.23
183,Bull Savanna,17.89,-77.59,82.62,57,16,5.61
184,Waddan,29.16,16.14,68.29,24,100,7.25
185,Clyde River,70.47,-68.59,-0.4,70,40,10.29
186,Ouesso,1.61,16.05,73.62,88,74,4.29
187,Gamba,28.28,88.52,16.0,61,0,2.57
188,Sao Filipe,14.9,-24.5,73.76,78,75,14.18
189,Pisco,-13.71,-76.2,70.68,30,89,25.28
190,Giyani,-23.32,30.73,84.58,36,0,3.74
191,Kailua,21.39,-157.74,74.19,69,20,11.41
192,Sabha,27.03,14.43,67.51,23,100,7.72
193,Narsaq,60.91,-46.05,30.2,92,75,20.8
194,Castro,-42.48,-73.76,59.0,62,75,12.75
195,Isla Vista,34.41,-119.86,63.46,45,75,7.96
196,Jalalpur Pirwala,29.5,71.22,63.93,27,0,2.28
197,Upernavik,72.79,-56.15,19.63,92,100,10.2
198,San Cristobal,14.68,-86.92,76.71,58,63,5.48
199,Kogon,39.73,64.54,47.55,61,91,4.7
200,Saint-Francois,46.42,3.91,33.13,84,17,4.7
201,Barrow,-38.31,-60.23,88.21,13,51,10.27
202,Seoul,37.57,126.98,21.97,67,1,0.92
203,Mecca,21.43,39.83,75.22,48,26,6.53
204,Rome,41.89,12.48,57.76,87,75,17.22
205,Jieshi,22.82,115.83,57.0,41,35,3.0
206,Muzhi,65.4,64.7,16.99,95,100,4.03
207,Golden,39.76,-105.22,42.39,44,1,3.36
208,Ardakan,32.31,54.02,50.0,46,100,4.7
209,Ahipara,-35.17,173.16,66.99,100,100,20.15
210,Adrar,27.87,-0.29,73.4,23,0,9.17
211,Ballina,54.11,-9.15,41.65,100,20,3.36
212,Dingle,11.0,122.67,74.62,89,100,5.73
213,Boa Vista,2.82,-60.67,93.2,41,75,8.05
214,Sitka,37.17,-99.65,50.0,41,100,13.0
215,Mogzon,51.74,111.97,-6.47,98,99,6.91
216,Tomisato,35.73,140.34,53.1,93,40,5.82
217,Kruisfontein,-34.0,24.73,64.56,78,0,24.49
218,Parit Buntar,5.13,100.49,79.2,74,20,8.05
219,Lorengau,-2.02,147.27,82.98,76,88,4.97
220,Souillac,45.6,-0.6,37.27,74,27,10.29
221,Zhigansk,66.77,123.37,-34.01,95,92,7.94
222,Lovington,32.94,-103.35,58.32,22,5,13.87
223,La Plaine,45.17,5.76,36.81,86,90,16.11
224,Sokoni,-12.89,28.78,67.14,89,100,3.04
225,Alta Floresta,-9.87,-56.08,90.84,59,36,2.01
226,Srednekolymsk,67.46,153.71,-26.57,92,96,9.44
227,Seymchan,62.93,152.39,-28.34,93,0,1.7
228,Zhaotong,27.34,103.71,27.7,84,89,4.03
229,Yarmouth,43.84,-66.12,33.8,84,90,21.92
230,Prince Rupert,54.32,-130.32,42.8,87,90,18.34
231,Kaka,37.35,59.62,60.57,30,100,9.64
232,Sovetskiy,56.76,48.47,18.73,87,33,11.74
233,San Quintin,17.54,120.52,73.29,74,100,15.64
234,Ixtapa,20.71,-105.21,82.99,62,5,5.82
235,Grand-Santi,4.27,-54.38,87.73,57,85,7.83
236,Sanmenxia,34.77,111.19,29.25,31,0,0.72
237,Los Llanos de Aridane,28.66,-17.92,62.87,63,20,6.93
238,Miandrivazo,-19.53,45.46,84.16,53,22,7.74
239,Kerema,-7.96,145.78,74.62,88,0,1.5
240,Barahona,18.21,-71.1,84.2,83,75,8.05
241,Moose Factory,51.26,-80.61,14.0,92,1,16.11
242,Provideniya,64.42,-173.23,23.0,79,1,6.71
243,Deep River,46.1,-77.49,30.38,50,1,5.82
244,Fortuna,40.6,-124.16,57.0,63,40,10.29
245,Ayan,38.23,44.7,33.01,93,100,3.56
246,Athabasca,54.72,-113.29,22.66,74,51,9.53
247,Namatanai,-3.66,152.44,82.15,77,15,3.33
248,Ancud,-41.87,-73.83,59.0,62,75,12.75
249,Flin Flon,54.77,-101.88,15.8,78,20,8.05
250,Lozuvatka,49.68,35.29,30.2,73,100,11.81
251,Carbonia,39.17,8.53,59.0,100,20,4.7
252,Lensk,60.71,114.91,-31.9,98,98,2.91
253,Laguna,16.17,-88.94,84.2,70,40,4.7
254,Catalina,-13.57,-76.13,70.66,30,89,25.28
255,Manyana,-35.26,150.51,55.56,41,0,10.29
256,Alofi,-19.06,-169.92,77.0,94,75,3.36
257,Kibre Mengist,5.87,38.99,59.65,83,17,1.21
258,Berlevag,70.86,29.09,31.95,80,75,22.79
259,Cayenne,4.94,-52.33,78.8,88,9,21.92
260,Puerto Escondido,15.86,-97.07,84.2,70,20,5.82
261,Juruti,-2.16,-56.09,93.42,43,1,4.97
262,Mackay,53.65,-115.58,24.89,63,40,3.36
263,Avera,33.19,-82.53,53.51,40,40,17.22
264,Grants,35.15,-107.85,37.4,55,1,5.82
265,Tiksi,71.64,128.87,-31.5,97,75,2.3
266,Nicoya,10.15,-85.45,79.45,58,20,3.36
267,Rexburg,43.82,-111.79,28.92,86,90,3.36
268,Virginia Beach,36.85,-75.98,46.42,70,90,10.29
269,Omboue,-1.57,9.26,73.53,98,100,3.18
270,Marystown,47.17,-55.16,34.21,65,71,12.46
271,Yanam,16.73,82.22,75.52,75,64,5.01
272,Piacabucu,-10.41,-36.43,82.98,68,71,15.23
273,Birao,10.3,22.78,76.46,24,28,8.52
274,Hithadhoo,-0.6,73.08,82.49,81,1,16.67
275,Boralday,43.36,76.86,28.4,86,75,4.47
276,Havre-Saint-Pierre,50.23,-63.6,23.0,67,1,8.05
277,Alto Araguaia,-17.32,-53.22,85.08,54,100,9.06
