,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
278,Mglin,53.06,32.85,28.83,65,100,13.04
279,Praia da Vitoria,38.73,-27.07,66.56,88,40,21.7
280,Bilibino,68.06,166.44,-19.52,99,100,4.05
281,Tezu,27.93,96.16,57.63,51,0,3.02
282,Alvorada,-30.0,-51.08,77.31,31,1,6.93
283,Cidreira,-30.17,-50.22,66.67,66,0,20.2
284,Shagamu,6.84,3.65,80.6,83,20,2.24
285,Luba,17.32,120.7,73.29,74,100,15.64
286,Araouane,18.9,-3.53,73.63,14,100,2.77
287,Ambikapur,23.12,83.2,61.34,63,18,1.83
288,Selenginsk,52.01,106.87,12.2,78,40,9.82
289,Mount Gambier,-37.83,140.78,53.6,87,90,18.34
290,Krupina,48.35,19.07,27.75,86,75,2.24
291,Tokur,53.13,132.9,-0.94,97,100,1.99
292,Sun City West,33.66,-112.34,63.0,38,75,6.26
293,De-Kastri,51.48,140.77,21.09,94,100,15.1
294,Clearlake,38.96,-122.63,51.89,71,90,8.05
295,Port-Cartier,50.03,-66.88,25.86,49,20,6.93
296,Hami,42.84,93.51,22.73,49,0,3.04
297,Ahuimanu,21.44,-157.84,74.19,94,90,4.7
298,Alugan,12.22,125.48,82.18,76,100,27.51
299,Itoman,26.12,127.67,62.94,55,75,28.86
300,Usoke,-5.09,32.32,71.6,88,75,5.82
301,Hare Bay,48.86,-53.99,26.6,73,90,12.75
302,Mazagao,-0.12,-51.29,93.2,56,40,13.87
303,Lamar,38.09,-102.62,39.2,44,1,5.82
304,Ericeira,38.96,-9.42,54.9,66,0,9.17
305,Awjilah,29.14,21.3,64.04,54,100,7.0
306,La Seyne-sur-Mer,43.1,5.88,46.72,93,0,3.36
307,Iqaluit,63.75,-68.52,-7.26,76,40,6.93
308,Krzeszowice,50.13,19.63,34.23,97,75,13.87
309,Perth,-31.95,115.86,76.15,33,0,20.8
310,Callaway,46.98,-95.91,22.28,49,40,14.99
311,Bunga,14.15,121.4,77.99,69,75,11.41
312,Atar,20.52,-13.05,83.75,17,0,12.21
313,Kupang,-10.16,123.6,78.8,88,50,1.12
314,Tikri,29.73,77.01,59.11,52,0,4.21
315,Fort-Shevchenko,44.51,50.26,36.66,79,99,17.45
316,Portland,43.66,-70.25,31.26,83,90,14.99
317,Vila do Maio,15.13,-23.22,75.2,73,75,16.11
318,Aasiaat,68.71,-52.87,15.13,72,63,27.94
319,El Dorado,10.65,-61.37,87.82,70,40,11.41
320,Lagoa,37.14,-8.45,55.31,71,40,10.29
321,Moindou,-21.69,165.68,68.0,77,24,1.12
322,Pevek,69.7,170.27,15.71,93,100,19.44
323,Shingu,33.72,135.99,52.02,68,4,15.1
324,Hammerfest,70.66,23.68,30.2,92,90,23.04
325,Ambagarh Chauki,20.78,80.75,67.89,64,9,5.91
326,Lasa,34.92,32.53,59.27,62,40,9.17
327,Padang,-0.92,100.36,73.4,100,75,6.93
328,Bandarbeyla,9.49,50.81,79.25,75,100,29.26
329,Seminole,32.72,-102.64,58.53,24,1,10.29
330,Kihei,20.76,-156.45,72.64,65,20,16.11
331,Sagaing,21.88,95.98,69.87,76,0,0.85
332,Makakilo City,21.35,-158.09,74.19,94,90,4.7
333,Palmer,-34.85,139.16,57.51,67,75,16.11
334,Laives,46.65,4.85,34.38,83,40,12.75
335,Kidderminster,52.39,-2.25,36.23,86,92,4.7
336,Kargat,55.19,80.28,5.97,83,6,8.97
337,Bathsheba,13.22,-59.52,86.0,70,40,18.34
338,Washington DC.,38.9,-77.04,40.96,75,90,10.29
339,Saint-Joseph,43.56,6.97,50.07,93,90,3.36
340,Ojinaga,29.56,-104.41,65.14,25,1,4.7
341,Lompoc,34.64,-120.46,64.42,48,75,11.41
342,Jinchang,38.52,102.19,19.65,39,0,2.95
343,Ust-Ilimsk,57.96,102.73,-10.62,92,100,2.66
344,Kijang,35.24,129.21,32.0,58,20,4.7
345,Freeport,26.54,-78.7,78.8,69,40,21.92
346,Rio Verde de Mato Grosso,-18.92,-54.84,89.19,56,47,1.86
347,Kidal,18.44,1.41,76.86,12,0,5.59
348,Sayansk,54.11,102.18,10.4,90,100,5.73
349,Kolo,43.71,17.22,48.07,81,90,1.12
350,Chernyshevskiy,63.01,112.47,-37.55,96,2,1.25
351,Brae,60.4,-1.35,47.41,100,100,19.46
352,Lakeside,32.86,-116.92,65.26,51,5,1.19
353,Carnarvon,-30.97,22.13,76.35,16,38,18.66
354,Ilulissat,69.22,-51.1,17.6,72,40,21.92
355,Mbini,1.58,9.62,78.8,100,40,8.05
356,Shumskiy,54.83,99.13,8.58,91,98,0.89
357,Auki,12.18,6.51,78.51,18,100,7.65
358,Vestmanna,62.16,-7.17,48.2,100,90,2.24
359,Kichera,55.93,110.1,-22.4,69,0,9.71
360,Orapa,-21.28,25.37,87.98,27,55,6.55
361,Tessalit,20.2,1.01,77.92,12,80,9.42
362,Okhotsk,59.36,143.24,-6.57,67,67,13.09
363,Broome,52.47,1.45,33.89,93,34,6.93
364,Anori,-3.74,-61.66,97.66,36,53,5.32
365,Saldanha,41.42,-6.55,43.48,70,22,15.43
366,Santa Isabel do Rio Negro,-0.41,-65.02,96.21,39,61,5.53
367,Sayyan,15.17,44.32,54.61,38,30,4.65
368,Dukat,40.25,19.57,55.99,76,88,18.14
369,Massaguet,12.48,15.44,75.2,27,67,4.7
370,Haines Junction,60.75,-137.51,18.61,96,78,8.59
371,Torbay,47.66,-52.73,28.9,74,20,8.05
372,Olga,34.11,-118.17,63.52,36,1,2.24
373,Riyadh,24.63,46.72,69.8,35,20,6.93
374,Nanakuli,21.39,-158.15,74.19,94,90,4.7
375,Tres Picos,16.23,-93.58,81.03,51,3,6.91
376,Zhezkazgan,47.8,67.71,23.34,85,50,3.71
377,Marsh Harbour,26.54,-77.06,79.29,71,19,24.18
378,Miajadas,39.15,-5.91,52.0,77,76,14.0
379,Qaqortoq,60.72,-46.03,30.2,92,75,20.8
380,Vanimo,-2.67,141.3,82.22,77,49,3.62
381,Rongcheng,37.16,122.42,34.32,45,0,15.08
382,Teya,21.05,-89.07,86.81,52,75,9.17
383,Nokaneng,-19.66,22.19,87.21,34,57,5.55
384,Mehamn,71.03,27.85,32.76,80,75,22.5
385,Trelew,-43.25,-65.31,84.45,10,82,6.62
386,Beloha,-25.17,45.06,78.6,63,0,8.1
387,Yekaterinoslavka,54.34,72.46,13.8,90,76,7.83
388,Hofn,64.25,-15.21,44.6,100,90,6.93
389,Meulaboh,4.14,96.13,80.24,82,100,4.68
390,Alamos,-36.9,-62.36,91.26,14,23,14.34
391,Port Lincoln,-34.72,135.86,54.25,87,0,13.06
392,Pangnirtung,66.15,-65.72,-4.0,53,40,10.29
393,Arlit,18.74,7.39,81.68,9,77,7.05
394,Margate,-43.03,147.26,46.44,46,75,16.11
395,Brigantine,39.41,-74.36,37.62,100,90,8.05
396,Mangan,27.5,88.54,37.29,62,48,5.21
397,Norman Wells,65.28,-126.83,15.8,85,90,2.24
398,Lamu,35.77,102.37,13.77,76,0,2.53
399,Chabahar,25.29,60.65,71.49,52,0,1.92
400,Kandrian,-6.21,149.55,73.29,88,11,2.89
401,Kieta,-6.22,155.63,80.1,81,1,6.42
402,Bacolod,10.68,122.95,74.64,92,100,7.2
403,Honiara,-9.43,159.96,75.2,94,20,2.24
404,Caxito,-22.65,-42.51,74.68,94,75,11.41
405,Kandy,7.29,80.64,71.8,97,100,2.35
406,San Patricio,-26.98,-56.83,83.53,41,0,10.54
407,Waipawa,-39.94,176.59,64.29,61,100,10.76
408,Kaitong,44.81,123.15,4.08,41,0,11.39
409,Hualmay,-11.1,-77.61,78.98,49,81,12.17
410,Aracati,-4.56,-37.77,89.65,49,31,11.92
411,Lata,30.78,78.62,17.47,21,8,9.24
412,Kaeo,-35.1,173.78,67.68,100,100,22.77
413,Mezen,65.85,44.24,22.08,89,100,14.12
414,Claremorris,53.72,-9.0,41.67,100,20,3.36
415,Leshukonskoye,64.9,45.76,23.85,90,100,11.72
416,Tiznit,29.7,-9.73,50.68,83,92,16.44
417,Mogadishu,2.04,45.34,81.23,75,82,8.19
418,Mitu,36.2,46.09,34.14,99,100,1.68
419,Machico,32.7,-16.77,62.89,55,75,4.7
420,Talnakh,69.49,88.39,3.2,71,9,13.42
421,Kigorobya,1.62,31.31,66.96,93,100,2.04
422,Baley,51.58,116.65,-24.23,81,0,3.0
423,Kavaratti,10.57,72.64,83.93,76,100,15.64
424,Khatanga,71.98,102.47,-25.51,86,0,7.63
425,Oyama,36.31,139.8,52.32,87,75,4.7
426,Tanout,14.97,8.88,76.93,13,73,10.38
427,Hasaki,35.73,140.83,48.13,93,40,5.82
428,Te Anau,-45.41,167.72,52.0,99,100,3.87
429,Victor Harbor,-35.55,138.62,56.55,67,75,16.11
430,Shimoda,34.7,138.93,52.03,79,0,1.01
431,Vao,59.1,26.19,27.18,91,22,5.61
432,Jaguimitan,11.14,122.67,74.62,89,100,5.73
433,Arua,3.02,30.91,71.31,80,98,1.92
434,Angoche,-16.23,39.91,80.96,72,0,3.65
435,Hirado,33.32,129.49,48.63,61,90,20.8
436,Shetpe,44.14,52.16,37.94,88,100,18.5
437,Fort Nelson,58.81,-122.69,21.2,92,90,2.24
438,Vardo,39.62,-77.74,40.6,81,75,8.05
439,Brazzaville,-4.27,15.27,81.32,69,40,1.88
440,Honningsvag,70.98,25.97,32.0,59,75,20.8
441,Damaturu,11.75,11.96,78.69,19,17,8.14
442,Campbellton,48.0,-66.68,23.4,78,36,2.64
443,Floro,61.6,5.03,33.03,72,75,13.87
444,Comodoro Rivadavia,-45.87,-67.48,64.4,52,75,11.41
445,Port Victoria,-34.5,137.49,57.63,83,18,17.81
446,Samarai,-10.62,150.67,76.3,93,30,1.43
447,Voyvozh,62.89,54.96,5.58,95,25,7.45
448,Shirokiy,53.87,39.17,28.0,62,100,4.0
449,Euclides da Cunha,-10.51,-39.01,104.99,11,46,2.84
450,Port Augusta,-32.49,137.76,53.82,76,40,6.93
451,Ekibastuz,51.72,75.32,15.69,76,90,12.21
452,Kungurtug,50.6,97.53,-1.3,87,11,2.06
453,Tarko-Sale,64.92,77.78,9.12,87,84,13.71
454,Talaya,55.79,84.89,-5.8,83,19,5.3
455,Alibag,18.64,72.88,82.4,74,91,3.36
456,Ponta Delgada,37.73,-25.67,64.4,72,20,9.17
457,Tondi,59.41,24.72,31.46,69,40,11.41
458,San Jose,14.25,-87.96,82.4,51,75,14.99
459,Naryan-Mar,67.67,53.09,4.46,93,0,13.4
460,Wanning,48.64,13.53,31.3,74,75,11.41
461,Kaduqli,11.01,29.72,80.65,24,0,12.3
462,Nouadhibou,20.93,-17.03,66.2,82,20,11.41
463,Marivan,35.52,46.18,41.95,89,100,4.07
464,Sechura,-5.56,-80.82,68.31,93,36,17.52
465,Vallenar,-28.58,-70.76,78.22,34,0,12.62
466,Grindavik,63.84,-22.43,48.2,100,90,27.51
467,Huntington,40.87,-73.43,34.81,86,90,20.8
468,Piney Green,35.09,-78.48,49.37,48,90,9.17
469,Visnes,59.36,5.22,35.53,93,75,8.05
470,Trairi,-3.28,-39.27,90.45,45,2,12.33
471,Sabla,12.75,4.71,82.58,14,98,8.99
472,Mezhova,48.26,36.73,29.08,67,100,9.6
473,Yining,29.04,114.56,36.93,79,0,0.83
474,Walvis Bay,-22.95,14.51,62.94,68,69,13.87
475,Thai Binh,20.45,106.33,60.8,55,0,6.93
476,Benton Harbor,42.12,-86.45,35.17,74,90,8.05
477,Gerash,27.67,54.14,51.8,76,0,1.97
478,Novyy Urgal,51.07,132.56,-0.62,97,100,1.14
479,Barkhan,29.9,69.52,48.79,36,0,1.97
480,Davila,18.47,120.58,75.2,78,20,24.16
481,Daru,-9.07,143.21,76.1,97,99,0.89
482,Magnolia,33.27,-93.24,49.23,49,1,8.05
483,Arinos,-15.92,-46.11,89.31,52,63,7.7
484,Verkhnyaya Inta,65.99,60.32,13.41,95,100,10.2
485,Luwingu,-10.26,29.92,68.34,89,100,4.34
486,Aguada de Pasajeros,22.38,-80.85,86.0,55,40,10.29
487,Airai,-8.93,125.41,67.17,87,77,1.88
488,Santa Cruz,-6.22,-36.02,93.61,34,22,12.46
489,Kampot,10.62,104.18,77.83,57,20,8.05
490,College,64.86,-147.8,13.64,92,90,2.15
491,Longford,-41.59,147.12,46.4,70,40,13.87
492,Port Hedland,-20.31,118.58,73.4,64,17,9.17
493,Petit Goave,18.43,-72.87,87.8,52,20,10.29
494,Dunga Bunga,29.75,73.24,61.29,21,0,4.21
495,Shenjiamen,29.96,122.3,50.88,53,2,19.01
496,Juneau,58.3,-134.42,42.26,81,90,13.91
497,Vila Franca do Campo,37.72,-25.43,64.4,72,20,9.17
498,Dandeli,15.25,74.62,68.61,91,99,5.44
499,Alyangula,-13.85,136.42,75.2,100,0,1.01
500,Sideropolis,-28.6,-49.42,69.96,48,0,6.76
501,Acajutla,13.59,-89.83,86.0,42,40,6.93
502,Salamiyah,35.01,37.05,54.39,62,24,2.73
503,Mogocha,53.73,119.76,-16.74,84,96,4.05
504,Ashta,16.95,74.41,68.9,80,72,8.9
505,Pitea,65.32,21.48,28.26,63,83,16.11
506,Kita,35.76,139.74,52.09,50,75,19.46
507,Codrington,-28.95,153.24,58.44,76,0,2.24
508,Havelock,34.88,-76.9,52.23,54,75,14.99
509,Male,50.74,33.7,30.52,66,100,13.47
510,Ati,13.21,18.34,80.94,12,60,9.24
511,Indramayu,-4.05,103.78,73.72,95,100,2.06
512,Kalaikunda,22.35,87.25,68.94,51,0,5.14
513,Spearfish,44.49,-103.86,41.92,45,1,11.41
514,Esso,55.93,158.7,-6.3,95,15,0.58
515,Shelburne,44.08,-80.2,29.84,74,20,6.93
516,Cockburn Town,21.46,-71.14,84.2,62,40,9.17
517,Qianguo,45.12,124.86,4.71,48,0,10.92
518,Bereda,43.27,-7.54,46.76,70,75,5.82
519,Moron,18.56,-74.26,80.71,69,1,3.29
520,Anuradhapura,8.34,80.41,73.89,96,100,3.96
521,Yazman,36.74,38.46,50.83,66,0,5.95
522,Concepcion del Uruguay,-32.48,-58.24,80.01,31,46,1.01
523,Luau,-10.7,22.23,68.72,96,100,3.76
524,Komsomolskiy,67.55,63.78,14.61,95,100,9.08
525,Poso,-1.4,120.75,67.77,81,98,4.43
526,Seydisehir,37.42,31.85,32.47,81,0,3.94
527,Carutapera,-1.2,-46.02,82.58,77,69,13.18
528,Port Moresby,-9.47,147.16,80.08,84,6,3.13
529,Nagua,19.37,-69.85,86.58,74,75,6.93
530,Pontian Kecil,1.48,103.39,77.94,94,75,4.7
531,Taltal,-25.41,-70.49,65.55,63,2,8.68
532,Monrovia,6.33,-10.8,78.8,94,20,9.95
533,Hong Gai,20.96,107.09,60.8,55,0,6.93
534,Zaraza,9.35,-65.33,88.03,60,76,5.48
535,Waingapu,-9.65,120.26,84.2,78,0,10.89
536,Monterey,36.6,-121.89,53.91,82,90,10.29
537,Abonnema,4.71,6.79,84.2,83,40,3.36
538,Oum Hadjer,13.3,19.7,78.67,13,34,9.86
539,Primorsk,60.37,28.62,25.0,74,10,17.94
540,Beidao,34.57,105.89,21.87,79,0,2.35
541,Nizhniy Kuranakh,58.84,125.49,-23.4,98,100,3.02
542,Maragogi,-9.01,-35.22,80.06,77,17,16.55
543,Quatre Cocos,-20.21,57.76,74.52,69,20,5.82
544,Umm Bab,25.21,50.81,68.0,64,1,6.44
545,Sur,22.57,59.53,71.13,53,43,4.88
546,Jumla,29.28,82.18,27.19,35,0,4.81
547,Degtyarsk,56.7,60.09,26.6,79,75,8.95
548,Sambava,-14.27,50.17,72.5,92,38,2.1
549,Urusha,54.05,122.9,-15.65,86,100,6.71
550,Deniliquin,-35.53,144.96,48.43,71,2,8.77
551,Lavrentiya,65.58,-170.99,19.18,78,8,5.64
552,Tazovskiy,67.47,78.7,6.26,94,96,15.88
553,Julfa,38.95,45.63,41.0,86,90,11.41
554,Nombre de Dios,23.85,-104.24,70.72,21,20,2.24
555,Qasigiannguit,68.82,-51.19,17.6,72,40,21.92
556,Banda Aceh,5.56,95.32,73.45,94,93,4.7
557,Keningau,5.33,116.16,77.0,88,75,4.7
558,Bilma,18.69,12.92,66.4,23,98,3.15
559,Semey,50.41,80.25,13.6,70,0,12.53
